user_id,movie_id,rating
1,20035,3
1,9402,5
1,743,3
1,14916,4
1,29429,5
1,8164,3
1,51,5
1,26436,1
1,27649,5
1,6164,3
1,5159,5
1,4170,4
1,4592,3
1,12973,5
1,6909,2
1,15897,5
1,23373,1
1,8974,3
1,672,2
1,18448,1
1,8499,3
1,20274,5
1,16567,4
1,13577,3
1,12523,5
1,14831,2
1,6118,1
1,25717,3
1,15812,1
1,1305,4
1,10596,5
1,3929,5
1,9210,5
1,10993,5
1,27404,2
1,8414,4
1,20969,5
1,3515,4
1,10519,5
1,13662,3
1,28793,2
1,643,4
1,22395,1
1,4362,1
1,22346,2
2,13744,4
2,11404,2
2,16766,4
2,11334,3
2,2184,5
2,16966,4
2,28390,3
2,26563,1
2,29407,4
2,2147,2
2,11215,2
2,14543,5
2,2937,3
2,4053,2
2,19700,2
2,271,4
2,18273,5
2,4236,2
3,19946,2
3,22186,4
3,23411,3
3,11920,4
3,21768,5
3,27375,2
3,14980,3
3,24506,4
3,17553,1
3,21878,3
3,17355,5
3,27430,1
3,6272,3
3,14041,3
3,17052,3
3,27477,5
3,12555,4
4,21445,1
4,15382,1
4,7080,1
4,1620,2
4,22003,5
4,27520,2
4,29979,3
4,18467,3
4,7955,3
4,115,1
4,15540,2
4,22264,2
4,22202,3
4,28944,2
4,23654,2
4,23743,4
4,27133,2
4,4067,5
4,24638,3
5,3932,4
5,27564,1
5,5459,1
5,21140,4
5,3973,3
5,29385,4
5,11530,5
5,24239,4
5,22212,3
5,13374,4
5,20754,1
5,25833,1
5,12125,3
5,19351,1
5,11825,4
5,16268,5
5,29818,4
5,6238,3
5,7851,4
5,2531,3
5,20496,1
5,15487,1
5,9478,5
5,1409,3
5,9216,1
5,15196,1
5,24125,1
5,18834,1
5,3290,5
5,19213,1
5,24309,4
5,22529,3
5,25225,1
5,19707,3
5,18752,1
5,2043,1
5,1655,1
5,5036,5
5,18115,5
5,15698,5
6,3744,1
6,6055,5
6,3802,4
6,20731,4
6,19611,2
6,13506,2
6,29902,1
6,17079,2
6,23799,5
6,12646,2
6,27725,4
6,13421,4
6,14038,2
6,25913,3
6,12944,5
6,26575,1
6,1796,2
6,29068,1
6,3211,1
6,9585,2
6,18769,2
6,12815,4
6,5297,1
6,25924,2
6,25792,3
6,16220,3
6,24332,1
7,21795,5
7,5937,3
7,130,2
7,16895,2
7,18266,4
7,14735,1
7,18379,5
7,8352,5
7,4175,5
7,18096,5
7,26033,2
7,14788,5
8,27201,1
8,25827,4
8,10135,5
8,7290,1
8,1565,1
8,11175,4
8,14597,3
8,23332,5
8,16706,5
8,9935,1
8,15786,3
8,20344,5
8,25608,5
8,20971,1
8,2372,5
8,8392,4
8,26319,5
8,6482,1
8,29527,2
8,18286,1
8,514,1
8,29068,5
8,15337,1
8,12957,3
8,21456,4
